deeplab


potsdam/test/ tensor([91.3100, 96.1933])
christchurch/test/ tensor([91.7495, 98.6585])
toulouse/test/ tensor([86.5312, 95.7331])
austin/test/ tensor([88.3695, 97.0948])
chicago/test/ tensor([84.2873, 93.3944])
kitsap/test/ tensor([83.2771, 98.0038])
tyrol-w/test/ tensor([89.6829, 98.6060])
vienna/test/ tensor([87.7676, 94.9490])
bruges/test/ tensor([86.0727, 96.6929])
Arlington/test/ tensor([84.8590, 97.0799])
Austin/test/ tensor([90.0082, 96.9381])
DC/test/ tensor([81.1898, 90.5226])
NewYork/test/ tensor([86.5439, 95.2231])
SanFrancisco/test/ tensor([84.7417, 92.1032])
Atlanta/test/ tensor([86.6729, 95.7511])
NewHaven/test/ tensor([78.2223, 94.0292])
Norfolk/test/ tensor([87.2926, 97.3313])
Seekonk/test/ tensor([87.2022, 98.8299])
miniworld tensor([87.8774, 96.7680])

potsdam/test/ tensor([90.9803, 96.0092])
christchurch/test/ tensor([91.5673, 98.6176])
toulouse/test/ tensor([87.5650, 95.9424])
austin/test/ tensor([88.5094, 97.1227])
chicago/test/ tensor([84.8771, 93.6347])
kitsap/test/ tensor([83.5674, 98.0216])
tyrol-w/test/ tensor([89.8642, 98.6276])
vienna/test/ tensor([87.9483, 95.0333])
bruges/test/ tensor([86.1177, 96.5578])
Arlington/test/ tensor([84.8790, 97.0895])
Austin/test/ tensor([90.0846, 96.9697])
DC/test/ tensor([82.2499, 91.1151])
NewYork/test/ tensor([86.3604, 95.0993])
SanFrancisco/test/ tensor([84.8622, 92.1565])
Atlanta/test/ tensor([87.8222, 96.0481])
NewHaven/test/ tensor([77.6443, 93.8641])
Norfolk/test/ tensor([87.8420, 97.4443])
Seekonk/test/ tensor([87.3110, 98.8263])
miniworld tensor([88.1238, 96.8240])

potsdam/test/ tensor([90.9650, 96.0094])
christchurch/test/ tensor([91.4292, 98.5959])
toulouse/test/ tensor([87.3216, 95.9690])
austin/test/ tensor([88.2663, 97.0766])
chicago/test/ tensor([83.8898, 93.2708])
kitsap/test/ tensor([82.9844, 97.9676])
tyrol-w/test/ tensor([89.5423, 98.5717])
vienna/test/ tensor([88.1371, 95.1176])
bruges/test/ tensor([86.2359, 96.6245])
Arlington/test/ tensor([84.6118, 97.0134])
Austin/test/ tensor([89.8695, 96.9136])
DC/test/ tensor([82.9450, 91.5424])
NewYork/test/ tensor([86.4419, 95.1581])
SanFrancisco/test/ tensor([84.7100, 92.0911])
Atlanta/test/ tensor([87.4736, 96.0133])
NewHaven/test/ tensor([77.5527, 93.8796])
Norfolk/test/ tensor([87.1955, 97.3036])
Seekonk/test/ tensor([86.7432, 98.7496])
miniworld tensor([87.8049, 96.7553])


ldtis706z


potsdam/test/ tensor([91.0013, 96.0135])
christchurch/test/ tensor([90.7865, 98.4809])
toulouse/test/ tensor([86.6987, 95.6687])
austin/test/ tensor([88.0494, 96.9828])
chicago/test/ tensor([83.6971, 93.1288])
kitsap/test/ tensor([82.6182, 97.9330])
tyrol-w/test/ tensor([89.3795, 98.5619])
vienna/test/ tensor([86.8678, 94.4904])
bruges/test/ tensor([85.7310, 96.5184])
Arlington/test/ tensor([83.9815, 96.8539])
Austin/test/ tensor([89.8902, 96.8986])
DC/test/ tensor([80.9472, 90.3588])
NewYork/test/ tensor([85.7191, 94.8284])
SanFrancisco/test/ tensor([84.5657, 92.0152])
Atlanta/test/ tensor([86.9805, 95.7577])
NewHaven/test/ tensor([77.7209, 93.7107])
Norfolk/test/ tensor([87.0439, 97.2407])
Seekonk/test/ tensor([86.1879, 98.6837])
miniworld tensor([87.3278, 96.5872])

potsdam/test/ tensor([91.0172, 96.0318])
christchurch/test/ tensor([91.1651, 98.5493])
toulouse/test/ tensor([87.0422, 95.7868])
austin/test/ tensor([88.1317, 96.9924])
chicago/test/ tensor([83.5242, 92.9131])
kitsap/test/ tensor([82.3383, 97.8375])
tyrol-w/test/ tensor([89.5672, 98.5683])
vienna/test/ tensor([86.9284, 94.5074])
bruges/test/ tensor([86.1335, 96.6535])
Arlington/test/ tensor([83.8759, 96.8177])
Austin/test/ tensor([90.3051, 97.0179])
DC/test/ tensor([81.3905, 90.6152])
NewYork/test/ tensor([86.1651, 95.0137])
SanFrancisco/test/ tensor([84.5367, 91.9737])
Atlanta/test/ tensor([87.8348, 96.0820])
NewHaven/test/ tensor([76.9405, 93.5078])
Norfolk/test/ tensor([87.2653, 97.2834])
Seekonk/test/ tensor([86.2749, 98.6978])
miniworld tensor([87.3646, 96.5635])

potsdam/test/ tensor([90.7092, 95.8777])
christchurch/test/ tensor([90.4461, 98.4071])
toulouse/test/ tensor([86.4987, 95.5771])
austin/test/ tensor([87.6331, 96.8134])
chicago/test/ tensor([84.0791, 93.2281])
kitsap/test/ tensor([82.3183, 97.8658])
tyrol-w/test/ tensor([88.8242, 98.4527])
vienna/test/ tensor([86.8233, 94.4560])
bruges/test/ tensor([86.2572, 96.6331])
Arlington/test/ tensor([82.9023, 96.5294])
Austin/test/ tensor([89.3456, 96.6591])
DC/test/ tensor([80.0008, 89.7641])
NewYork/test/ tensor([84.8779, 94.4268])
SanFrancisco/test/ tensor([83.7321, 91.4686])
Atlanta/test/ tensor([87.7382, 96.0505])
NewHaven/test/ tensor([77.1123, 93.4934])
Norfolk/test/ tensor([86.2854, 97.0050])
Seekonk/test/ tensor([85.1427, 98.5408])
miniworld tensor([87.2009, 96.5119])


wdtis719z


potsdam/test/ tensor([91.2163, 96.1046])
christchurch/test/ tensor([90.6974, 98.4587])
toulouse/test/ tensor([86.7224, 95.6621])
austin/test/ tensor([87.6690, 96.8456])
chicago/test/ tensor([83.5364, 92.9547])
kitsap/test/ tensor([82.1651, 97.8261])
tyrol-w/test/ tensor([89.0377, 98.4979])
vienna/test/ tensor([86.6507, 94.3995])
bruges/test/ tensor([84.5959, 96.2822])
Arlington/test/ tensor([83.0270, 96.5529])
Austin/test/ tensor([90.0773, 96.9202])
DC/test/ tensor([81.0232, 90.4000])
NewYork/test/ tensor([85.7765, 94.8091])
SanFrancisco/test/ tensor([84.6847, 92.0574])
Atlanta/test/ tensor([86.4086, 95.5931])
NewHaven/test/ tensor([76.4004, 93.3273])
Norfolk/test/ tensor([86.5063, 97.0783])
Seekonk/test/ tensor([85.2087, 98.5523])
miniworld tensor([87.0998, 96.4908])

potsdam/test/ tensor([90.9678, 95.9905])
christchurch/test/ tensor([90.2803, 98.3708])
toulouse/test/ tensor([85.9919, 95.4067])
austin/test/ tensor([87.9044, 96.9113])
chicago/test/ tensor([84.0848, 93.2976])
kitsap/test/ tensor([82.3305, 97.8481])
